oversightagency,newcount,oldcount,percentage_change
Amtrak,4,4,0.00000000000000000000
BBPC,1,1,0.00000000000000000000
BPL,70,76,-8.5714285714285714
CUNY,28,29,-3.5714285714285714
FBOP,3,3,0.00000000000000000000
HRPT,1,1,0.00000000000000000000
HYDC,1,1,0.00000000000000000000
MTA,295,297,-0.67796610169491525424
Non-public,787,786,0.12706480304955527319
NYCACS,739,784,-6.0893098782138024
NYCACS;NYCDOE,3,15,-400.0000000000000000
NYCACS;NYCDOHMH,30,10,66.6666666666666667
NYCACT,1,1,0.00000000000000000000
NYCBIC,222,1290,-481.0810810810810811
NYCBOE,8,5,37.5000000000000000
NYCBP-BK,1,1,0.00000000000000000000
NYCBP-BX,1,1,0.00000000000000000000
NYCBP-MN,3,2,33.3333333333333333
NYCBP-QN,1,1,0.00000000000000000000
NYCBP-SI,1,1,0.00000000000000000000
NYCBSA,1,1,0.00000000000000000000
NYCCB102,1,1,0.00000000000000000000
NYCCB103,1,1,0.00000000000000000000
NYCCB104,1,1,0.00000000000000000000
NYCCB105,1,1,0.00000000000000000000
NYCCB106,1,1,0.00000000000000000000
NYCCB107,1,1,0.00000000000000000000
NYCCB108,1,1,0.00000000000000000000
NYCCB109,1,1,0.00000000000000000000
NYCCB110,1,1,0.00000000000000000000
NYCCB111,1,1,0.00000000000000000000
NYCCB112,2,2,0.00000000000000000000
NYCCB201,1,1,0.00000000000000000000
NYCCB202,1,1,0.00000000000000000000
NYCCB203,1,1,0.00000000000000000000
NYCCB204,1,1,0.00000000000000000000
NYCCB205,1,1,0.00000000000000000000
NYCCB206,1,1,0.00000000000000000000
NYCCB207,1,1,0.00000000000000000000
NYCCB208,1,1,0.00000000000000000000
NYCCB209,1,1,0.00000000000000000000
NYCCB210,1,1,0.00000000000000000000
NYCCB211,1,1,0.00000000000000000000
NYCCB212,1,1,0.00000000000000000000
NYCCB301,1,1,0.00000000000000000000
NYCCB303,1,1,0.00000000000000000000
NYCCB304,1,1,0.00000000000000000000
NYCCB306,2,2,0.00000000000000000000
NYCCB307,1,1,0.00000000000000000000
NYCCB308,1,1,0.00000000000000000000
NYCCB309,1,1,0.00000000000000000000
NYCCB310,1,1,0.00000000000000000000
NYCCB311,1,1,0.00000000000000000000
NYCCB312,1,1,0.00000000000000000000
NYCCB313,1,1,0.00000000000000000000
NYCCB314,1,1,0.00000000000000000000
NYCCB315,1,1,0.00000000000000000000
NYCCB316,1,1,0.00000000000000000000
NYCCB317,1,1,0.00000000000000000000
NYCCB318,1,1,0.00000000000000000000
NYCCB401,1,1,0.00000000000000000000
NYCCB402,1,1,0.00000000000000000000
NYCCB403,1,1,0.00000000000000000000
NYCCB404,1,1,0.00000000000000000000
NYCCB405,1,1,0.00000000000000000000
NYCCB406,1,1,0.00000000000000000000
NYCCB408,1,1,0.00000000000000000000
NYCCB409,1,1,0.00000000000000000000
NYCCB410,1,1,0.00000000000000000000
NYCCB411,1,1,0.00000000000000000000
NYCCB412,1,1,0.00000000000000000000
NYCCB413,1,1,0.00000000000000000000
NYCCB414,1,1,0.00000000000000000000
NYCCB501,1,1,0.00000000000000000000
NYCCB502,1,1,0.00000000000000000000
NYCCB503,1,1,0.00000000000000000000
NYCCCHR,5,4,20.0000000000000000
NYCCCRB,1,1,0.00000000000000000000
NYCCEO,1,1,0.00000000000000000000
NYCCFB,1,1,0.00000000000000000000
NYCCLERK,5,7,-40.0000000000000000
NYCCOIB,1,1,0.00000000000000000000
NYCCOMP,1,1,0.00000000000000000000
NYCCOUNCIL,3,3,0.00000000000000000000
NYCCSC,1,1,0.00000000000000000000
NYCDA-BK,3,2,33.3333333333333333
NYCDA-BX,6,6,0.00000000000000000000
NYCDA-MN,5,5,0.00000000000000000000
NYCDA-QN,4,3,25.0000000000000000
NYCDA-SI,4,4,0.00000000000000000000
NYCDA-SNP,1,1,0.00000000000000000000
NYCDCA,3576,2325,34.9832214765100671
NYCDCA;NYSDEC,5,13,-160.0000000000000000
NYCDCAS,1464,1538,-5.0546448087431694
NYCDCLA,1757,1753,0.22766078542970973250
NYCDCLA;NYSED,6,10,-66.6666666666666667
NYCDCP,5,5,0.00000000000000000000
NYCDCP;NYCDOB,354,351,0.84745762711864406780
NYCDDC,4,5,-25.0000000000000000
NYCDEP,244,245,-0.40983606557377049180
NYCDFTA,431,441,-2.3201856148491879
NYCDHS,159,161,-1.2578616352201258
NYCDOB,9,8,11.1111111111111111
NYCDOC,38,36,5.2631578947368421
NYCDOE,5292,5017,5.1965230536659108
NYCDOE;NYCDOHMH,303,666,-119.8019801980198020
NYCDOF,11,8,27.2727272727272727
NYCDOHMH,2626,2288,12.8712871287128713
NYCDOHMH;NYSDOH,5,6,-20.0000000000000000
NYCDOI,3,2,33.3333333333333333
NYCDOITT,21,20,4.7619047619047619
NYCDOP,52,50,3.8461538461538462
NYCDOP;NYCHRA/DSS,3,3,0.00000000000000000000
NYCDOP;NYCMO,3,3,0.00000000000000000000
NYCDORIS,4,3,25.0000000000000000
NYCDOT,1613,378,76.5654060756354619
NYCDPR,3506,3613,-3.0519110096976612
NYCDSNY,289,265,8.3044982698961938
NYCDYCD,2202,2189,0.59037238873751135332
NYCEDC,324,299,7.7160493827160494
NYCEM,2,3,-50.0000000000000000
NYCFDNY,317,313,1.2618296529968454
NYCHA,535,536,-0.18691588785046728972
NYCHHC,41,40,2.4390243902439024
NYCHRA/DSS,304,306,-0.65789473684210526316
NYCHRA/DSS;NYCHRA/DSS;NYCMO,3,3,0.00000000000000000000
NYCHRA/DSS;NYCMO;NYCMO,1,1,0.00000000000000000000
NYCIBO,1,1,0.00000000000000000000
NYCLAW,15,10,33.3333333333333333
NYCLPC,2,2,0.00000000000000000000
NYCMO,53,50,5.6603773584905660
NYCOATH,8,7,12.5000000000000000
NYCOCA,15,13,13.3333333333333333
NYCOCB,1,1,0.00000000000000000000
NYCOCME,7,6,14.2857142857142857
NYCOLR,3,2,33.3333333333333333
NYCOMB,1,1,0.00000000000000000000
NYCOPA,2,2,0.00000000000000000000
NYCOURTS,150,149,0.66666666666666666667
NYCPA,1,1,0.00000000000000000000
NYCPA-BK,1,1,0.00000000000000000000
NYCPA-BX,2,1,50.0000000000000000
NYCPA-MN,2,2,0.00000000000000000000
NYCPA-QN,1,1,0.00000000000000000000
NYCPA-SI,1,1,0.00000000000000000000
NYCSBS,343,324,5.5393586005830904
NYCTAXCM,1,1,0.00000000000000000000
NYCTLC,7,5,28.5714285714285714
NYC-Unknown,69,77,-11.5942028985507246
NYPD,217,214,1.3824884792626728
NYPL,112,121,-8.0357142857142857
NYSDEC,216,246,-13.8888888888888889
NYSDOCCS,3,3,0.00000000000000000000
NYSDOH,1274,1278,-0.31397174254317111460
NYSDOT,3,3,0.00000000000000000000
NYSED,5627,6970,-23.8670694864048338
NYSOASAS,328,332,-1.2195121951219512
NYSOCFS,1,1,0.00000000000000000000
NYSOMH,820,813,0.85365853658536585366
NYSOPRHP,801,803,-0.24968789013732833958
NYSOPWDD,158,158,0.00000000000000000000
PANYNJ,17,17,0.00000000000000000000
QPL,82,90,-9.7560975609756098
RIOC,11,11,0.00000000000000000000
TGI,7,7,0.00000000000000000000
USCOURTS,11,11,0.00000000000000000000
USDOT,18,18,0.00000000000000000000
USNPS,8,8,0.00000000000000000000
