field,newcountnull,oldcountnull,percentage_change
boro,0,0,
borocode,943,1042,-10.4984093319194062
geom,0,0,
latitude,0,0,
longitude,0,0,
nta,295,289,2.0338983050847458
xcoord,0,0,
ycoord,0,0,
zipcode,228,210,7.8947368421052632
