pgtable,newcount,oldcount
dohmh_facilities_daycare,2163,1806
nysdec_facilities_lands,27,27
hhs_facilities_financialscontracts;hhs_facilities_proposals,46,43
dycd_facilities_afterschoolprograms,491,489
dcas_facilities_colp;dot_facilities_pedplazas,7,5
doe_facilities_universalprek,831,382
dcas_facilities_colp;hhs_facilities_proposals;nysdoh_facilities_healthfacilities,5,6
nysed_facilities_activeinstitutions,4346,5792
nysparks_facilities_parks,5,5
dcas_facilities_colp;dcp_pops,23,19
nysdoh_facilities_healthfacilities,1003,1026
dcp_pops,331,332
dcas_facilities_colp;nysdec_facilities_lands,1,2
dcas_facilities_colp;dpr_parksproperties,1457,1446
dcas_facilities_colp;dot_facilities_bridgehouses,2,2
dcas_facilities_colp;dycd_facilities_afterschoolprograms,692,694
usdot_facilities_ports,37,40
usnps_facilities_parks,6,6
dcas_facilities_colp;foodbankny_facilities_foodbanks,26,24
acs_facilities_daycareheadstart;hhs_facilities_proposals,7,9
dcas_facilities_colp;usdot_facilities_ports,60,57
usdot_facilities_airports,13,13
dcas_facilities_colp;omb_facilities_libraryvisits,211,213
bic_facilities_tradewaste,217,1273
dcas_facilities_colp;nysomh_facilities_mentalhealth,221,230
dfta_facilities_contracts;hhs_facilities_proposals,12,11
hrpt_facilities_sfpsd,1,1
nycdoc_facilities_corrections,1,1
nycha_facilities_communitycenters,457,452
nysparks_facilities_historicplaces,650,653
dcas_facilities_colp;hhs_facilities_financialscontracts,264,265
dcas_facilities_colp;dsny_facilities_mtsgaragemaintenance,82,69
sbs_facilities_workforce1,29,27
fbop_facilities_corrections,3,3
uscourts_facilities_courts,6,6
dcas_facilities_colp;nycdep_facilities_sfpsd,12,13
hhs_facilities_proposals,928,915
amtrak_facilities_sfpsd,4,4
dcas_facilities_colp;nycdoc_facilities_corrections,17,17
dcas_facilities_colp;dfta_facilities_contracts;hhs_facilities_proposals,9,9
dcla_facilities_culturalinstitutions,1532,1531
acs_facilities_daycareheadstart;hhs_facilities_financialscontracts,134,137
dcas_facilities_colp;hhs_facilities_proposals,708,707
nysomh_facilities_mentalhealth,599,583
dcas_facilities_colp;dcla_facilities_culturalinstitutions;nysed_facilities_activeinstitutions,3,3
dcas_facilities_colp;dfta_facilities_contracts,62,64
doe_facilities_universalprek;dohmh_facilities_daycare,303,666
dca_facilities_operatingbusinesses,3442,2229
dcas_facilities_colp;dcla_facilities_culturalinstitutions,172,169
dcas_facilities_colp;uscourts_facilities_courts,5,5
dhs_facilities_shelters,146,146
nysdec_facilities_solidwaste,187,212
nysdot_facilities_sfpsd,3,3
nycdep_facilities_sfpsd,2,1
dot_facilities_pedplazas,62,64
dsny_facilities_mtsgaragemaintenance,13,16
dcas_facilities_colp;nycourts_facilities_courts,125,119
nycha_facilities_policeservice,12,14
dcas_facilities_colp;dhs_facilities_shelters,3,3
acs_facilities_daycareheadstart;hhs_facilities_financialscontracts;hhs_facilities_proposals,27,30
dcla_facilities_culturalinstitutions;nysed_facilities_activeinstitutions,3,7
acs_facilities_daycareheadstart,40,13
dcas_facilities_colp;hhs_facilities_financialscontracts;hhs_facilities_proposals,24,25
hhs_facilities_financialscontracts,261,249
dcas_facilities_colp;dohmh_facilities_daycare,398,421
dcas_facilities_colp;nysparks_facilities_historicplaces,146,145
dcas_facilities_colp;nysopwdd_facilities_providers,20,20
doe_facilities_busroutesgarages,105,101
dca_facilities_operatingbusinesses;nysdec_facilities_solidwaste,4,12
acs_facilities_daycareheadstart;dcas_facilities_colp,108,119
dcas_facilities_colp;nysdoh_facilities_healthfacilities,271,252
dfta_facilities_contracts,310,299
nysoasas_facilities_programs,283,284
tgi_facilities_sfpsd,7,7
dcas_facilities_colp;nycha_facilities_policeservice,2,2
dcas_facilities_colp;nysoasas_facilities_programs,45,48
bbpc_facilities_sfpsd,1,1
dcas_facilities_colp;doe_facilities_universalprek,748,779
dcas_facilities_colp,6563,6856
dcas_facilities_colp;doe_facilities_lcgms,2003,2036
acs_facilities_daycareheadstart;dohmh_facilities_daycare,30,10
dcas_facilities_colp;usnps_facilities_parks,2,2
dpr_parksproperties,547,562
nysocfs_facilities_facilities,1,1
dcas_facilities_colp;mta_facilities_sfpsd,47,44
dcas_facilities_colp;usdot_facilities_airports,5,5
dca_facilities_operatingbusinesses;dcas_facilities_colp,129,89
bic_facilities_tradewaste;dcas_facilities_colp,2,15
dcas_facilities_colp;nysdec_facilities_solidwaste,16,10
nysopwdd_facilities_providers,138,138
dcas_facilities_colp;rioc_facilities_sfpsd,11,11
dcas_facilities_colp;nysed_facilities_activeinstitutions,1281,1178
dcas_facilities_colp;hhs_facilities_proposals;sbs_facilities_workforce1,1,1
dcas_facilities_colp;nycha_facilities_communitycenters,64,68
dcas_facilities_colp;hra_facilities_centers,10,10
panynj_facilities_sfpsd,2,2
dca_facilities_operatingbusinesses;dcas_facilities_colp;nysdec_facilities_solidwaste,1,1
nycourts_facilities_courts,13,19
dot_facilities_bridgehouses,33,33
doe_facilities_lcgms,109,102
nysdoccs_facilities_corrections,3,3
hra_facilities_centers,1,1
mta_facilities_sfpsd,97,100
foodbankny_facilities_foodbanks,735,737
dcas_facilities_colp;sbs_facilities_workforce1,11,13
omb_facilities_libraryvisits,24,22
dcas_facilities_colp;dpr_parksproperties;nysdec_facilities_lands,1,
dot_facilities_publicparking,1256,
dcas_facilities_colp;dot_facilities_publicparking,61,
